; Tables for Std model AutoHardSize capacity look-up rules
TABLE Bressi Ranch Apartments22TrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"ResBaseAirSys_SZHP SupFan-5","ConstantVolume","ResBaseAirSys_SZHP-5","n/a",64.460,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.055,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-6","ConstantVolume","ResBaseAirSys_SZHP-6","n/a",312.570,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.267,0.500,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-7","ConstantVolume","ResBaseAirSys_SZHP-7","n/a",1619.878,-99996.000,0.650,"PowerPerUnitFlow",3.560,1.398,1.500,"InAirStream",0.865,0.7440
,"ResBaseAirSys_SZHP SupFan-8","ConstantVolume","ResBaseAirSys_SZHP-8","n/a",1822.025,-99996.000,0.650,"PowerPerUnitFlow",3.560,1.573,2.000,"InAirStream",0.865,0.7440
,"ResBaseAirSys_SZHP SupFan-9","ConstantVolume","ResBaseAirSys_SZHP-9","n/a",45.139,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.039,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-10","ConstantVolume","ResBaseAirSys_SZHP-10","n/a",57.925,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.049,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-11","ConstantVolume","ResBaseAirSys_SZHP-11","n/a",53.477,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.046,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-12","ConstantVolume","ResBaseAirSys_SZHP-12","n/a",55.687,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.048,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-13","ConstantVolume","ResBaseAirSys_SZHP-13","n/a",106.888,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.091,0.125,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-14","ConstantVolume","ResBaseAirSys_SZHP-14","n/a",118.258,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.101,0.125,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-15","ConstantVolume","ResBaseAirSys_SZHP-15","n/a",51.557,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.044,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-16","ConstantVolume","ResBaseAirSys_SZHP-16","n/a",30.919,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.026,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-17","ConstantVolume","ResBaseAirSys_SZHP-17","n/a",104.768,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.089,0.125,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-18","ConstantVolume","ResBaseAirSys_SZHP-18","n/a",200.415,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.171,0.250,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-19","ConstantVolume","ResBaseAirSys_SZHP-19","n/a",44.390,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.038,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-20","ConstantVolume","ResBaseAirSys_SZHP-20","n/a",37.807,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.032,0.083,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-21","ConstantVolume","ResBaseAirSys_SZHP-21","n/a",120.290,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.103,0.125,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-22","ConstantVolume","ResBaseAirSys_SZHP-22","n/a",104.814,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.089,0.125,"InAirStream",0.855,0.7440
,"ResBaseAirSys_SZHP SupFan-23","ConstantVolume","ResBaseAirSys_SZHP-23","n/a",38.475,-99996.000,0.650,"PowerPerUnitFlow",3.519,0.033,0.083,"InAirStream",0.855,0.7440
ENDTABLE
TABLE Bressi Ranch Apartments22OACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"ResBaseAirSys_SZHP OACtrl","NoEconomizer","ResBaseAirSys_SZHP","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-2","NoEconomizer","ResBaseAirSys_SZHP-2","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-3","NoEconomizer","ResBaseAirSys_SZHP-3","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-4","NoEconomizer","ResBaseAirSys_SZHP-4","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-5","NoEconomizer","ResBaseAirSys_SZHP-5","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-6","NoEconomizer","ResBaseAirSys_SZHP-6","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-7","FixedDryBulb","ResBaseAirSys_SZHP-7","Integrated"
,"ResBaseAirSys_SZHP OACtrl-8","FixedDryBulb","ResBaseAirSys_SZHP-8","Integrated"
,"ResBaseAirSys_SZHP OACtrl-9","NoEconomizer","ResBaseAirSys_SZHP-9","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-10","NoEconomizer","ResBaseAirSys_SZHP-10","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-11","NoEconomizer","ResBaseAirSys_SZHP-11","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-12","NoEconomizer","ResBaseAirSys_SZHP-12","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-13","NoEconomizer","ResBaseAirSys_SZHP-13","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-14","NoEconomizer","ResBaseAirSys_SZHP-14","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-15","NoEconomizer","ResBaseAirSys_SZHP-15","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-16","NoEconomizer","ResBaseAirSys_SZHP-16","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-17","NoEconomizer","ResBaseAirSys_SZHP-17","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-18","NoEconomizer","ResBaseAirSys_SZHP-18","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-19","NoEconomizer","ResBaseAirSys_SZHP-19","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-20","NoEconomizer","ResBaseAirSys_SZHP-20","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-21","NoEconomizer","ResBaseAirSys_SZHP-21","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-22","NoEconomizer","ResBaseAirSys_SZHP-22","UNDEFINED"
,"ResBaseAirSys_SZHP OACtrl-23","NoEconomizer","ResBaseAirSys_SZHP-23","UNDEFINED"
ENDTABLE
